,job_titles,companys,employment_type,seniority,industrys,salary,salary_terms,job_descriptions,job_requirements,links,location,gov_support,min_salary,max_salary,average_salary,salary_med,job_titles_topics,job_description_topic,job_req_topics
743,Python Full Stack Developer,HYDROGEN CONSULTING SOLUTIONS PTE. LTD.,Contract,Professional,Information Technology,7500to9000,Monthly,"â¢ Bachelorâs degree in Computer Science, Engineering, or related field â¢ At least 3Â years of relevant work experience â¢ A strong technical background in development roles (Python) â¢ Experience in Django web frameworks â¢ A focus on delivering quality, well-tested software â¢ The ability to work independently in a fast-paced environment","RequirementsYou will be responsible for: â¢ Identifying opportunities to improve business process by leveraging technology and tools â¢ Work on enterprise Finance systems â¢ Developing backend scripts to automate processes with large data size â¢ Developing web front-ends to allow users to interact with data and execute business workflows â¢ Ensuring code quality, including sufficient automated test coverage â¢ Improving performance of files processing job with big size â¢ Improving Mysql queries and database structure",https://www.mycareersfuture.sg/job/python-full-stack-developer-hydrogen-consulting-solutions-b0432f5df251b995383f28244b4c816f,South,yes,7500.0,9000.0,8250.0,1,6,3,5
744,Python Full Stack Developer,HYDROGEN CONSULTING SOLUTIONS PTE. LTD.,Contract,Professional,Information Technology,6500to8000,Monthly,"â¢ Bachelorâs degree in Computer Science, Engineering, or related field â¢ At least 3 years of relevant work experience â¢ A strong technical background in development roles (Python) â¢ Experience in Django web frameworks â¢ A focus on delivering quality, well-tested software â¢ The ability to work independently in a fast-paced environment","RequirementsYou will be responsible for: â¢ Identifying opportunities to improve business process by leveraging technology and tools â¢ Work on enterprise Finance systems â¢ Developing backend scripts to automate processes with large data size â¢ Developing web front-ends to allow users to interact with data and execute business workflows â¢ Ensuring code quality, including sufficient automated test coverage â¢ Improving performance of files processing job with big size â¢ Improving Mysql queries and database structure",https://www.mycareersfuture.sg/job/python-full-stack-developer-hydrogen-consulting-solutions-31db29bafefafefe17c5912d51bd3b0a,Central,yes,6500.0,8000.0,7250.0,1,6,3,5
745,Python Developer,TALENTVIS SINGAPORE PTE. LTD.,Permanent,Senior Executive,Information Technology,7000to10500,Monthly,"In terms of the project, you will be engaged in the development of optimization solutions for airlines and train companies worldwide. The aim of the project is to solve some of the most complex optimization problems in the world and make them simple and transparent for customers. As a Python Developer, you will work closely with clients and customize the application to their business environment. We are looking for a developer with strong communication skills, both inside a team and towards clients, who can explain decisions and technical solutions in a pedagogical and confident way. Our successful candidate is good at dealing with technical challenges and programming tasks as well as handling client expectations and building long-term customer relations.Â ",Requirements 3+ years of experience in commercial software development In-depth Python knowledge OOP/OOD skills and good quality of produced code Experience with DSL will be a plus Experience with Rostering systems would be a plus Experience working directly with a client ,https://www.mycareersfuture.sg/job/python-developer-talentvis-singapore-5616950d70c6908eda3ef500ab5fb96b,Central,yes,7000.0,10500.0,8750.0,1,6,6,0
746,Software Developer (Python),THE SUPREME HR ADVISORY PTE. LTD.,Full Time,Junior Executive,Information Technology,2500to2900,Monthly,"Jobscope:  Analyze user requirements, design and develop automation projects (test automation, robotics process automation) mostly in combination of Python/Selenium or UiPath. Explore and use appropriate first- and third-party libraries and technologies for the assigned tasks. Communicate and coordinate with various teams for automation project development, testing and roll-out. Support user acceptance tests, perform troubleshooting and post-production incident and defect resolution related to the automation projects. Analyze various project artifacts and sources such as log files, database tables and codes to diagnose problems related to the automation projects. Support system manager in all other tasks as assigned in the scope of automation projects. ","RequirementsRequirements: At least 2 years of hands-on programming experience in Python/Selenium, or, UiPath. Knowledge of at least one Python web automation framework. Good understanding of front-end technologies such as Javascript, latest versions of HTML and CSS. Able to work with complex algorithms and data structures. Able to work in relational databases such as SQL Server and Oracle. Able to communicate well with teams from various backgrounds and possess ability to build healthy and professional working relationships. Strong debugging/problem solving skills and tenacity to resolve new technical problems as they arise. Ability to work in both Windows and Linux environments. Â  Please include the following in your Resume Document * (*.DOC/PDF - Files should not exceed 2MB) Â Â  â¢ Name Â Â  â¢ Contact No. Â Â  â¢ Nationality/PR Status Â Â  â¢ Location/Address Â Â  â¢ Recent Photo Â Â  â¢ Expected Salary",https://www.mycareersfuture.sg/job/software-developer-supreme-hr-advisory-b5144919abb196cb45b1868ee176858c,Islandwide,no,2500.0,2900.0,2700.0,0,6,6,7
747,"Support Engineer - Python, R in Singapore -Â JOB_000598",GECO ASIA PTE. LTD.,Contract,Professional,Information Technology,8000to10000,Monthly,"Job Summary: Role: Special / Support Engineer - Python, R in Singapore Start: ASAP Duration: 12 Months Location: Singapore","RequirementsOne of our clients is looking for a Support Engineer - Informatica, SQL, who is/are able to fulfill the following requirements:  Requirements: - Mandatory Skils: Â  Â -> Python, R   Please send your application to applicants@geco.asia with (JOB_000598) in Subject line and highlighting:  - Your relevant experience - Current/expected salary - Availability information - A latest MS-WORD Resume   **We regret that only short-listed applicants will be contacted.**  GECO Asia values the data privacy rights of our customers, associates, partners and prospective applicants. We have a privacy policy that governs our collection and use of personal data in place. In conjunction with the new PDPA act in Singapore, we have updated our Privacy Policy and Terms of Use to better clarify our collection and use of your personal information. The same can be found here (https://www.geco.asia/about/privacy-policy) Note: GECO Asia is a German IT Services company and provides specialist IT resources on project and permanent basis. We operate under a Comprehensive Licence offered by MOM Singapore. [GECO Asia Pte Ltd, Licence No. 07C4453] [2 Venture Drive, #10-18, Vision Exchange, Singapore 608526]",https://www.mycareersfuture.sg/job/support-engineer-python-r-singapore-job000598-geco-asia-bfa534716ae8f018de8e859812590c84,NA,yes,8000.0,10000.0,9000.0,1,6,5,7
748,Software Developer (Python),THE SUPREME HR ADVISORY PTE. LTD.,Full Time,Junior Executive,Information Technology,2400to2900,Monthly,"Jobscope:  Analyze user requirements, design and develop automation projects (test automation, robotics process automation) mostly in combination of Python/Selenium or UiPath. Explore and use appropriate first- and third-party libraries and technologies for the assigned tasks. Communicate and coordinate with various teams for automation project development, testing and roll-out. Support user acceptance tests, perform troubleshooting and post-production incident and defect resolution related to the automation projects. Analyze various project artifacts and sources such as log files, database tables and codes to diagnose problems related to the automation projects. Support system manager in all other tasks as assigned in the scope of automation projects. ","RequirementsRequirements:  At least 2 years of hands-on programming experience in Python/Selenium, or, UiPath. Knowledge of at least one Python web automation framework. Good understanding of front-end technologies such as Javascript, latest versions of HTML and CSS. Able to work with complex algorithms and data structures. Able to work in relational databases such as SQL Server and Oracle. Able to communicate well with teams from various backgrounds and possess ability to build healthy and professional working relationships. Strong debugging/problem solving skills and tenacity to resolve new technical problems as they arise. Ability to work in both Windows and Linux environments.  Please include the following in your Resume Document * (*.DOC/PDF - Files should not exceed 2MB) Â Â  â¢ Name Â Â  â¢ Contact No. Â Â  â¢ Nationality/PR Status Â Â  â¢ Location/Address Â Â  â¢ Recent Photo Â Â  â¢ Expected Salary",https://www.mycareersfuture.sg/job/software-developer-supreme-hr-advisory-6f015eda97db42ee8d5c84a1b4a07ffe,Islandwide,no,2400.0,2900.0,2650.0,0,6,6,7
749,Python Developer,ENTERPRISE SOFTWARE SOLUTIONS PRIVATE LIMITED,Contract,Executive,Information Technology,3500to5500,Monthly,The Software and Applications Developer contributes to the review and verification of business and software needs. He/She develops and maintains software in line with technical design. He/She must be able to alalyse business requirements and transform business requirements into Automation process. Â ,"RequirementsKey Competencies:  Python 3 with core competency in Selenium for web automation and Excel manipulation. Technical acumen in machine learning, deep learning and AI with Python is an added advantage. Able to apply Object-Oriented Programming (OOP) concepts in development work. Good understanding of Test Automation Concepts and Frameworks. Understands basic best-practices of Robotics Process Automation (RPA). Able to write SQL for use with automation tasks. Hands-on approach to problem solving, attention to detail and creative solutioning Team player and able to work in a culturally-diverse environment ",https://www.mycareersfuture.sg/job/python-developer-enterprise-software-solutions-bb537946b172167059979c1e41d0fe52,NA,yes,3500.0,5500.0,4500.0,0,6,0,7
750,Business Analyst  /  Central  /  Up to $5000+AWS+VB  /  SQL  /  Python,ACHIEVE CAREER CONSULTANT PTE LTD,Permanent,Executive,Information Technology,4000to5000,Monthly," BASIC UP TO $5000+AWS+VB 3-4 YEAR OF EXPERIENCE IN SIMILIAR CAPICITY CENTRAL (NEART MRT)  Our Client, One of the biggest shipping company in the world with regional office in singapore is currently looking for Business Analyst to join their exciting team Â  Responsibilities:  Work closely with system providers to design and enhance IT systems, and understand user's requirements and meeting their needs Analyse data end generate reports for improving business analysis Design , develop and test system enhancement KPI design and data analysis support Business intelligence tool setup and design ","RequirementsJob Requirements:  Degree in any field 3 -4 years of relevant experience Experience in shipping preferred Experience in system development, SQL , Python and basic database knowledge  OTHER INFORMATION:  Location :Central (Near MRT Station) Monday to Friday 8.30am to 5.30pm Salary will commensurate according to experience & qualifications Basic Salary + AWS + VB  Interested applicants may apply by sending in your updated rÃ©sumÃ© (in MS Word format) to Gordon Ang (EA Personnel Registration No: R1548181) Â  inspire2@achievegroup.asia Â  Or call your friendly Consultant, Ang Kok Wee Gordon (Reg. No.: R1548181), at 6590 9941 for a confidential discussion. Or Click the ""Apply Now"" button at the bottom of the page Â  Please include the following for priority processing:  Reason for leaving each employment Last drawn and expected salary Notice or availability period  We regret only short listed candidate will be notified. Â  By submitting any application or rÃ©sumÃ© to us, you will be deemed to have agreed and consented to us disclosing your personal information to prospective employers for their consideration Â  Ang Kok Wee Gordon (EA Personnel Registration No: R1548181) EA License No: 05C3451 (Achieve Career Pte Ltd) Â  YOUR SUCCESS IS OUR ACHIEVEMENT!",https://www.mycareersfuture.sg/job/business-analyst-central-5000awsvb-sql-python-achieve-career-consultant-c39b8d8463661047ea0875e43c6b1e44,Central,yes,4000.0,5000.0,4500.0,0,3,6,0
752,Business Analyst  /  Central  /  Up to $5000+AWS+VB  /  SQL  /  Python,ACHIEVE CAREER CONSULTANT PTE LTD,Permanent,Executive,Information Technology,4000to5000,Monthly," BASIC UP TO $5000+AWS+VB 3-4 YEAR OF EXPERIENCE IN SIMILIAR CAPICITY CENTRAL (NEART MRT)  Our Client, One of the biggest shipping company in the world with regional office in singapore is currently looking for Business Analyst to join their exciting team Â  Responsibilities:  Work closely with system providers to design and enhance IT systems, and understand user's requirements and meeting their needs Analyse data end generate reports for improving business analysis Design , develop and test system enhancement KPI design and data analysis support Business intelligence tool setup and design ","RequirementsJob Requirements:  Degree in any field 3 -4 years of relevant experience Experience in shipping preferred Experience in system development, SQL , Python and basic database knowledge  OTHER INFORMATION:  Location :Central (Near MRT Station) Monday to Friday 8.30am to 5.30pm Salary will commensurate according to experience & qualifications Basic Salary + AWS + VB  Interested applicants may apply by sending in your updated rÃ©sumÃ© (in MS Word format) to Gordon Ang (EA Personnel Registration No: R1548181) Â  inspire2@achievegroup.asia Â  Or call your friendly Consultant, Ang Kok Wee Gordon (Reg. No.: R1548181), at 6590 9941 for a confidential discussion. Or Click the ""Apply Now"" button at the bottom of the page Â  Please include the following for priority processing:  Reason for leaving each employment Last drawn and expected salary Notice or availability period  We regret only short listed candidate will be notified. Â  By submitting any application or rÃ©sumÃ© to us, you will be deemed to have agreed and consented to us disclosing your personal information to prospective employers for their consideration Â  Ang Kok Wee Gordon (EA Personnel Registration No: R1548181) EA License No: 05C3451 (Achieve Career Pte Ltd) Â  YOUR SUCCESS IS OUR ACHIEVEMENT!",https://www.mycareersfuture.sg/job/business-analyst-central-5000awsvb-sql-python-achieve-career-consultant-c37b344c3d355f8c456d8c692511e39b,Central,yes,4000.0,5000.0,4500.0,0,3,6,0
754,Python Developers,DEZIRE TECHNOLOGIES PTE. LTD.,Contract,Executive,Information Technology,5000to7000,Monthly,"Â·Â Â Â Â Â Â Â Â  Perform GUI configurations and development Â·Â Â Â Â Â Â Â Â  Design separate components, modules, classes, database tables, etc. Â·Â Â Â Â Â Â Â Â  Maintain existing legacy components, modules, and configuration changes Â·Â Â Â Â Â Â Â Â  Configure API integrations with different systems Â·Â Â Â Â Â Â Â Â  Code, debug, document, and maintain portions of software Â·Â Â Â Â Â Â Â Â  Perform unit and integration testing Â·Â Â Â Â Â Â Â Â  Perform team peer code review Â·Â Â Â Â Â Â Â Â  Contribute to development of technical project documentation and user documentation Â·Â Â Â Â Â Â Â Â  Participate in conference calls and face-to-face meetings with the customer and customerâsÂ Â partners Â·Â Â Â Â Â Â Â Â  Participate in workshops and business trips to the customer Â·Â Â Â Â Â Â Â Â  Work closely with the customer and other customerâs teams",Requirements at least 3 years of experience in PythonÂ development. In-depth Python knowledge OOP/OOD skills and good quality of produced code Experience with DSL will be a plus Experience with Rostering systems would be a plus ,https://www.mycareersfuture.sg/job/python-developers-dezire-technologies-295b72bfdfa4d10952bcde4d51efa174,NA,yes,5000.0,7000.0,6000.0,0,6,3,0
760,Sr. Cybersecurity Engineer,VISA WORLDWIDE PTE. LIMITED,Permanent,Professional,Information Technology,10000to12500,Monthly,"Cyber Security is an integral part of Visaâs corporate culture. It is important to maintaining our position as an industry leader in electronic payments. At Visa, we believe that it is the responsibility of each and every employee to safeguard information, protect it from unauthorized access, and ensure regulatory compliance. Cyber Security has a significant effect on privacy, consumer confidence, external reputation, and it is a priority on everyoneâs agenda. Visa's Cyber Engineering team is looking for an Opensource & Automation Engineer who will be responsible for design, development, and execution of large-scale Cyber Security initiatives. Extensive Python and web service development experience and team leadership skills are a must. In this position, you are a passionate and talented engineer/developer with problem-solving abilities and coding/testing/debugging skills who can work in a dynamic environment. You must be dedicated to delivering production-ready code in short time frames and willing to go beyond the routine.   Job Scope  Solid proficiency with Linux (or similar) operating systems Solid proficiency with Opensource security solutionsÂ  Â  Expert knowledge of Restful web services (client â server application) Advanced Python scripting, Automation and DevOps skills etc. Software development domain and principles, including design patterns, code structure, programming languages, continuous integration (Git), continuous deployment (Travis/Jenkins), and deployment orchestration (Ansible, puppet, or equivalent) Experience with C, C++, Java, Ruby, or Python, database application (MYSql/MS SQL) Skills. Experience with Web Technologies (Apache, AJAX, HTML, JavaScript, HTTP, SOAP, XML)Â  Develop a framework for maintain custom signatures using YARA across all security nodesÂ  Exposure to security management, administrative account management etc., would be a plus Understanding of: distributed systems, cloud computing, database, machine learning, data mining, statistics, data modelingÂ Â Â Â Â  Experience with object-oriented design concepts Understanding of unit test and integration testing frameworks.  ResponsibilitiesÂ Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â   Develop innovative solutions to protect the Visa brand, networks, assets and products by implementing state-the-art detection, prevention, and response capabilities Engage in technical design of solutions based on use cases and business requirements Participate in proof of concepts and other technical evaluations of technologies, designs and solutions Stay abreast of emerging technologies and proactively assess and evaluate the adoption thereof into the organization Demonstrate technical mastery and be an inspirational leader and mentor who continuously develops the competencies of him/herself and others Reduce time-to-detect and time-to-remediate by driving the automation of applied threat intelligence and sensor enrichment Develop and expand API framework to interconnect Security Tools ",Requirements Minimum 7Â years of experience in enterprise solutions Minimum 3Â years of experience in Project life cycle activities on development and maintenance projects Minimum 4Â years of experience in Design and architecture review Minimum Bachelorâs degree required from an accredited institution Chinese Mandarin fluency a plus ,https://www.mycareersfuture.sg/job/sr-cybersecurity-engineer-visa-worldwide-8e5cbe97ed41a79c0490d135c5fe0aa1,East,yes,10000.0,12500.0,11250.0,1,0,6,0
764,Staff Operations Engineer,ZENDESK SINGAPORE PTE. LTD.,Full Time,Executive,Engineering,155000to170000,Monthly,"As a Staff DevOps Engineer in our Singapore office, you will be part of the team that builds and maintains the Zendesk platform. Youâll work closely with Product and Software Engineers to ship self-sustaining reliable products You strive to automate everything a system does and want the easiest deployments for all concerned. Youâll frequently ask yourself âhow can I make DevOps practices betterâ, and contribute towards these improvements within Zendesk as well as within the SF Bay Area DevOps community. Â  What you get to do every day:  Tackle complex problems and provide simple elegant solutions Advise product teams during the design of cloud architecture and technology choices Act as an escalation point for product performance concerns Collaborate with your Operations teammates in Madison, Melbourne, and San Francisco Use a wide variety of technologies, wear lots of hats (actual hats optional) Work in an agile development environment and believe that pragmatism always triumphs over dogmatism Perform occasional pager duty on-call duties Help us run our platform and manage fast growth Drive architecture design discussions and find ways for Zendesk to improve the environment in which our services run Own and deliver projects aimed at improving infrastructure or delivering direct services to customers Lead Zendesk Engineering in one or more domain expert areas  What you bring to the role:  Python, AWS, and Chef are the cornerstones of our operation. Aside from that, we use diverse technologies and youâll wear many hats. We donât expect anyone to be familiar with all of them (if you are please talk to us now) Configuration Management expertise (Chef, Puppet, Salt or Ansible) Python frameworks, Go and Ruby experience is ideal Service discovery technologies, like Consul or Zookeeper AWS orchestration tools, like Cloudformation or Terraform Kubernetes, AWS EKS, or other PaaS technologies MySQL, Redis, Memcached, MongoDB, Hadoop, RIAK, Cassandra, Kafka Monitoring and logging with Nagios, Datadog and ELK stack Youâll also have great communication skills (written and verbal) that will enable successful collaboration with all our teams. ","Requirements BS degree in Computer Science or related technical field, or equivalent practical experience Strong coding skills in at least one programming language, and a desire to pick up more (we work primarily in Python) Expertise in designing, analyzing and troubleshooting large-scale distributed systems A systematic problem-solving approach, coupled with a strong sense of ownership and drive In-depth knowledge of at least one configuration management tool Extensive experience working with Unix/Linux systems and a deep knowledge of all layers of the networking stack Strong understanding of AWS products and services ",https://www.mycareersfuture.sg/job/staff-operations-engineer-zendesk-singapore-6b7728126a6507e4287b3e22e8522f26,South,yes,12916.67,14166.67,13541.67,1,0,3,0
766,Sr. Systems Administrator,VISA WORLDWIDE PTE. LIMITED,Permanent,Professional,Information Technology,7500to13000,Monthly,"  Responsible for the ongoing security maintenance (while safeguarding availability) of Systems infrastructure based on business requirements and adhering to tight operations, security, and procedural models   Demonstrate a high level of technical expertise to support complex Windows systems and patch management   Automate day-to-day network operations task.   This position requires a dynamic, hard-working and ambitious individual, with excellent oral and written communication skills   Security tool and problem analysis documentation; must be able to write and proof documents intended for technical and executive audiences.   Build / collaborate tools using Ansible/SCCM / Blade Logic / BAO to automate production support activities that enable efficiency and productivity   Mentoring several teams and stakeholders to the process changes and enhancements in the tools to increase self-service capabilities   Work in a time-sensitive environment; must be detail oriented and able to multitask to meet deadlines and company objectives   Continued support and partnership Â with Visa technology leadership / operations / engineering / development teams   Managing vulnerability tracking / patching systems and network and lead projects for continual improvements   Implement changes and requests to meet project deliverables within defined guidelines and low MTTR(mean time to resolve) for all customers   Automating server patch deployment,Â scripting and development of patching tools using python, PowerShell, C#.NET, RESTful API and building APIs for self-service   Automate network dy to day work, health check using Ansible and python.   Document and thoroughly understand the Ansible, SCCM / Blade Logic BSA application architecture, system configuration and interface with various teams and use this knowledge effectively to resolve issues   Achieve and understand Service Level commitments and resolution timelines for all requests   Develop solutions using available tools and technologies and assist the global team in problem resolution by hands-on participation.   Support the development and incorporation of best practices and approaches into the companyÂ´s processes and methodologies   Improve the efficiency by continual improvement in current processes with key goals to standardize, simplify, automate and commoditize.  ","Requirements  Bachelor's degree in Computer Science/Engineering from an accredited university or related field is preferred   Experience working in large, complex, enterprise in data center environments   Must have 5+ years of Windows system administration and network automation Â experience   5-8 years solid experience in Scripting to include Python/PowerShell / VB Scripting / Batch scripting / ASP.NET   6+ years of expert level experience with Ansible, Â Blade Logic, BAO and SCCM in a 24*7 environment   2-3 years of experience in RESTful/SOAP API on both client and server side   2-3 years of experience in database / information management with complex requirements     Languages: preferably Java/J2EE, Java Script, AJAX, JQuery, XML, JSP coding experience   Databases:Â MySQL, MS Access, Oracle   Version control â Git or bitbucket.     Application Management: Application Packaging, unit / integration testing and phased production release management   Software Updates: Patch Management experience (Downloading patches, testing, bundling of patches, deployment packages, troubleshooting patch)   Experienced in implementing ITIL concepts in addition to technical aptitude are highly valued   Experienced with security tools and their modules such as Qualys for scanning infrastructure and applications for vulnerabilities, policy compliance and security assessments.   2-3 years of experience in Business Intelligence and reporting technologies such as Tableau / SSRS   Ability to write technical design and build documentation for all aspects of Windows Infrastructure   Excellent oral and written communication skills and strong inter-personal skills   Experience in network automation.   Experienced in failover cluster management   Individual should be self-motivated with the ability to work independently   Sound planning, organizational and problem solving skills   Strong project management, coordination, presentation skills   Demonstrated ability to meet deadlines / MTTR(mean time to resolve) and commitments in an environment that requires multitasking among concurrent projects  ",https://www.mycareersfuture.sg/job/sr-systems-administrator-visa-worldwide-b9645222123f57c8e4fdca971fc23de3,East,yes,7500.0,13000.0,10250.0,1,9,6,7
768,Analytics Engineer,ST ENGINEERING MANAGEMENT SERVICES PTE. LTD.,Permanent,Executive,Information Technology,5000to8000,Monthly,"Job Description The Analytics System team is seeking an exceptional Analytics Engineer (AE) to join team. In this individual contributor role, this person will play a key role in providing reporting and analytical solutions to the various stakeholders. The candidate should possess Finance Domain knowledge and experience to able to support key users of the Finance and Treasury team. Â  Key responsibilities include:  Create and maintain optimal data pipeline from Source systems/data to Analytics platform using programming (such as Python and SQL) Assemble large, complex data sets that meet functional / non-functional business requirements. Build data infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources Build data model suitable for analytics tools (such as Tableau) that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency and other key business performance metrics. Work with stakeholders including the Executive, Product, Data and Design teams to assist with data-related technical issues and support their data infrastructure needs. Ability to draw insights from data and clearly communicate them to the stakeholders and senior management as required Support and maintain Analytics system and review regularly priorities with the stakeholders  Â  Basic Qualifications  Advanced knowledge in using Open Source programming such as Python and familiar with libraries such as pandas for ETL transformation Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases. Experience building and optimizing data pipelines, architectures and data sets. Strong analytic skills related to working with structured and unstructured datasets. Successful experience of manipulating, processing and extracting value from large disconnected datasets. Experience supporting and working with cross-functional teams in a dynamic environment. Good project management and organizational skills. BA/BS in Computer Science, Engineering, Statistics, Mathematics or related field 3+ years of relevant work experience in analytics, data engineering, business intelligence, or related field Have application knowledge of common statistical methods  Â   ","RequirementsPreferred Qualifications  Knows Tableau, D3,.NET Programming, C, Java Scripting FamiliarÂ  with Agile Programming/SCRUM Methdology Both technically deep and business savvy enough to interface with all levels and disciplines within the organization Experience working in a fast-paced and dynamic environment ",https://www.mycareersfuture.sg/job/analytics-engineer-st-engineering-management-services-a23fd744dbf67102ca05386fa7c585ee,North,yes,5000.0,8000.0,6500.0,1,0,6,7
772,Engineering Lead,MINDCRAFT SINGAPORE PTE. LTD.,Full Time,Middle Management,Information Technology,5000to9000,Monthly,"Our vision is to build a unified Commercial Digital Platform capability (data, people, processes, technology), which will enable us to support a step change in commercial performance, transform customer experiences, and play a pioneering role in redefining our industry over the long term. Our aim is to deliver the most engaging experiences for our customers, underpinned by digital technologies and new agile ways of working. As part of this work, in partnership with BCG Digital Ventures (part of the Boston Consulting Group), we have built a MVP for a predictive shipping analytics platform using the latest Machine Learning and AI technologies. We are now looking for smart people to join the team and propel the next phase of the productâs development, and support the broader digitalisation transformation across Rio Tintoâs commercial function. As Lead Engineer you will be responsible for the technical direction and delivery of the products we are building. You will be responsible for hiring, technical architecture, through to the long term direction of these products. You will work to ensure the team is focussed on doing the right thing, at the right time, in the right way. Responsibilities: â Grow innovative, ground-breaking products that address real customer frictions â Design and architect innovative, modern architectures â Build, support and mentor effective teams â Write code alongside your development team â Champion a focus on software qualities such as testability, security, scalability, operability etc â Work with state of the art technologies to solve genuine, real-world problems â Champion good agile practices that provide a foundation for iterative product development â Build strong relationships with product managers, venture architects and designers â Enjoy working in a diverse, dynamic, collaborative, transparent, environment where everyone's ideas and opinions are equally valued â Cross-pollinate good practises and insights between multiple ventures to drive continuous improvement of the DV Engineering cohort Experience: â Hands-on development and delivery experience with a broad mix of languages and technologies â Real passion for solving customer frictions through simple and effective software â Experience with architectural design whilst leading and inspiring software development teams â Strong people skills that contribute to an open and collaborative environment â Experience working with Agile, Lean and Continuous Delivery approaches, such as Continuous Integration, TDD, Infrastructure as Code etc. â Experience in communicating technical vision to a variety of team members â Experience building cloud native software architectures â An ability to embrace and reduce uncertainty through continual validated learning â Development experience building scalable backend services in Python and Django, ideally experience or interest in working with Serverless â Excellent architecture and design skills â Analytical skills, with a love for problem solving and troubleshooting â Confidence in deploying production applications using AWS, Google Cloud or similar â Enthusiasm for CI/CD â A strong understanding of databases and when to use relational and non-relational â A strong understanding of the fundamentals - data structures, algorithms, OO design and system architecture â Unix/Linux experience â Communication skills, happy to collaborate and talk with the rest of the team â Solid understanding of Agile development methods Tech Stack: â Python, Django â ES6, React â AWS, Serverless","RequirementsTech Stack: â Python, Django â ES6, React â AWS, Serverless Experience: â Hands-on development and delivery experience with a broad mix of languages and technologies â Real passion for solving customer frictions through simple and effective software â Experience with architectural design whilst leading and inspiring software development teams â Strong people skills that contribute to an open and collaborative environment â Experience working with Agile, Lean and Continuous Delivery approaches, such as Continuous Integration, TDD, Infrastructure as Code etc. â Experience in communicating technical vision to a variety of team members â Experience building cloud native software architectures â An ability to embrace and reduce uncertainty through continual validated learning â Development experience building scalable backend services in Python and Django, ideally experience or interest in working with Serverless â Excellent architecture and design skills â Analytical skills, with a love for problem solving and troubleshooting â Confidence in deploying production applications using AWS, Google Cloud or similar â Enthusiasm for CI/CD â A strong understanding of databases and when to use relational and non-relational â A strong understanding of the fundamentals - data structures, algorithms, OO design and system architecture â Unix/Linux experience â Communication skills, happy to collaborate and talk with the rest of the team â Solid understanding of Agile development methods",https://www.mycareersfuture.sg/job/engineering-lead-mindcraft-singapore-e02de28a458e57459523c639cf91eaa7,East,yes,5000.0,9000.0,7000.0,1,9,0,8
773,Administrator,TOTAL EBIZ SOLUTIONS PTE. LTD.,Contract,Executive,Information Technology,4500to6000,Monthly," Working experience in administrating Unix based (e.g. Solaris, RHEL) or Windows servers Experience in virtualisation (VMWare VSphere family of products) / container technology will be an added advantage Experience in setting up and supporting the following tech stack will be an added advantage: 	o Middleware like Passenger, iPlanet, JBoss, Weblogic, Apache, IIS 	o Messaging Queue like RabbitMQ or other AMQP 	o Load balancer or reverse proxy like HAProxy 	o Oracle Database and clustering (e.g. RAC, Data Guard) Experience in scripting languages (e.g. Python and PERL, Unix shell scripting, FTP/SFTP scripting, PowerShell scripting) will be an added advantage Experience in setting up and using Agile continuous integration tools will be an added advantage, for example 	o Configuration management tool such as Ansible, Chef, Puppet 	o Continuous integration tool such as Go.CD, Jenkins, Bamboo Added advantages (non mandatory) programming in either Java, J2EE, Dot Net and/or Ruby on Rails, Python, PERL, etc Good analytical and writing skills Positive and willing to learn new technologies Good team player and meticulous ","Requirements Provide production support and operation for a 24x7 system Plan for, and work with the project management team to procure and manage development infrastructure such as workstation, server, storage, network and data protection Provision virtual machines, application software for development team Develop automation code for deployment and maintenance of infrastructure and applications Perform automated deployments to existing or new infrastructure environments Build continuous integration and delivery pipeline for applications Liaise with 3rd party software and hardware vendors to manage and resolve incidents and technical issues Liaise with 3rd party hosting providers to manage and resolve incidents and technical issues ",https://www.mycareersfuture.sg/job/administrator-total-ebiz-solutions-9286dea3e890ab6b3c00e0281cde3a1a,Islandwide,yes,4500.0,6000.0,5250.0,0,9,8,9
